,Accident_Severity,light_Darkness - lights lit,light_Darkness - no lighting,light_Daylight,road_Dual carriageway,road_On/off ramp,road_One way street,road_Roundabout,road_Single carriageway,speed_Over 40 km/s,speed_Under 40 km/s,area_Rural,area_Urban,age_Adolescent,age_Adult,age_Senior,vehicle_Bike,vehicle_Car,vehicle_Goods,vehicle_Motorcycle
21796,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
21949,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
21968,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
21983,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
22037,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
22038,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
22039,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
22133,Fatal,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
22181,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
22213,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
22270,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
22281,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
22293,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
22294,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
22305,Fatal,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0
22390,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
22409,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
22418,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
22419,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
22420,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
22445,Fatal,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
22996,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
23121,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
23391,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
23410,Fatal,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
23437,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
23438,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
23463,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
23535,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
23686,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
23699,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
23769,Fatal,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
23834,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
24132,Fatal,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
24268,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
24274,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
24647,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
24648,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
24675,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
24692,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
24709,Fatal,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
24905,Fatal,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
24906,Fatal,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
